"ID";"P1";"P3";"P8";"P12";"P13";"P14";"P15";"P16";"P17";"P18";"P21";"P22";"P23";"P24";"P26";"P2";"P4";"P5";"P6";"P7";"P9";"P10";"P11";"P19";"P20"
609;Não;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Não;;;
610;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Indiferente;Sexual;Sim;Física;;
611;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
612;Não;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Importante;Muito importante;Muito importante;Sexual;Sim;Física;;
613;Sim;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Psicológica;Não;;;
614;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Importante;Importante;Importante;Sexual;Não;;;
615;Não;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Indiferente;Muito importante;Sexual;NS/NR;;;
616;As vezes;No trabalho;NS/NR;Sim;Física;2 vezes;20 a 29 anos;Marido;Procurou uma delegacia comum;Regular;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Importante;Muito importante;Física;Sim;Física;Foi para sua casa;
617;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Importante;Física;Não;;;
618;Não;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Estudante;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
619;Não;Nas instituições públicas;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Importante;Física;Sim;Física;;
620;As vezes;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
621;Não;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Importante;Muito importante;Sexual;Sim;Física;;
622;Não;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
623;Não;Na solicitação de serviços;Na família;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Importante;Sexual;Não;;;
624;Não;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Sexual;Sim;Física;;
625;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
626;As vezes;NS/NR;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
627;As vezes;NS/NR;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Sim;Sim;Sem importância;Muito importante;Muito importante;Psicológica;Não;;;
628;As vezes;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Importante;Importante;Pouco importante;Física;Sim;Física;;
629;As vezes;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
630;As vezes;No trabalho;Na família;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Importante;Muito importante;Física;Não;;;
631;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;As vezes;Sim;Muito importante;Importante;Importante;Moral;Não;;;
632;As vezes;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;As vezes;Sim;Muito importante;Muito importante;Importante;Sexual;Sim;Física;;
633;Sim;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Indiferente;Importante;Importante;Sexual;Não;;;
634;As vezes;Na solicitação de serviços;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Sim;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
635;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;20 a 29 anos;Ensino médio;Mais de 21 salários mínimos (R$ 5.460);Estudante;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
636;Não;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino médio;NS/NR;Trabalha fora;Sudeste;Não;Não;Pouco Importante;Indiferente;Pouco importante;Sexual;Não;;;
637;As vezes;NS/NR;Na família;Não;;;;;;;20 a 29 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Dona de casa;Sudeste;Não;Não;Importante;Muito importante;Muito importante;Sexual;Não;;;
638;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;As vezes;Em parte;Muito importante;Importante;Importante;Física;Não;;;
639;As vezes;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Em parte;Importante;Muito importante;Muito importante;Sexual;Sim;Física;;
640;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
641;As vezes;No trabalho;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;As vezes;Em parte;Muito importante;Muito importante;Importante;Moral;Não;;;
642;Não;Nas instituições públicas;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
643;As vezes;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Estudante;Sudeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
644;Sim;Na Justiça;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;As vezes;Em parte;Sem importância;Muito importante;Muito importante;Sexual;Não;;;
645;As vezes;Na família;NS/NR;Não;;;;;;;20 a 29 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Importante;Física;Sim;Física;;
646;As vezes;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
647;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;NS/NR;Trabalha fora;Sudeste;Não;Em parte;Importante;Importante;Muito importante;Moral;Sim;Física;;
648;As vezes;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
649;Não;Na família;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
650;Não;Na Justiça;Na família;Não;;;;;;;20 a 29 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
651;Sim;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
652;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;NS/NR;Dona de casa;Sudeste;Não;Em parte;Importante;Importante;Importante;Moral;Não;;;
653;Não;No trabalho;Nas instituições públicas;Não;;;;;;;20 a 29 anos;Ensino superior;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
654;Não;Na família;NS/NR;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Pouco Importante;Pouco Importante;Sem Importância;NS/NR;Sim;Física;;
655;As vezes;Na família;Na Justiça;Não;;;;;;;20 a 29 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;As vezes;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
656;Não;Na família;No trabalho;Não;;;;;;;20 a 29 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
657;Não;No trabalho;Na família;Sim;Física;2 vezes;até 19 anos;Marido;Procurou uma delegacia comum;Regular;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;Foi para sua casa;
658;Não;NS/NR;Na família;Não;;;;;;;20 a 29 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
659;Não;No trabalho;Na família;Sim;Física;1 vez;20 a 29 anos;Namorado;Silenciou;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
660;As vezes;Na família;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;As vezes;Não;Muito importante;Indiferente;NS/NR;Física;Sim;Física;;
661;Não;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Importante;Física;Sim;Física;;
662;Sim;No trabalho;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Pouco importante;Física;Sim;Física;;
663;As vezes;No trabalho;Na solicitação de serviços;Sim;Física;1 vez;30 a 39 anos;Tio/Primo;Procurou uma delegacia comum;Péssimo;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;NS/NR;Não;Sem importância;Pouco Importante;Muito importante;Física;Sim;Física;Foi para sua casa;
664;Não;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;As vezes;Sim;Muito importante;Muito importante;Importante;Sexual;Não;;;
665;As vezes;Na família;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Importante;Física;Não;;;
666;Não;No trabalho;Na família;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
667;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
668;As vezes;Nas instituições públicas;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;As vezes;Sim;Importante;Muito importante;Importante;Moral;Não;;;
669;As vezes;Na Justiça;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Importante;Muito importante;Psicológica;Sim;Psicológica;;
670;Não;Na família;Na solicitação de serviços;Sim;Física;3 vezes;até 19 anos;Marido;NS/NR;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
671;As vezes;Na Justiça;Nas instituições públicas;Sim;Psicológica;4 vezes ou mais;até 19 anos;Pai;Silenciou;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Psicológica;;
672;Não;Na Justiça;No trabalho;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Sexual;Não;;;
673;As vezes;No trabalho;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
674;Não;Na Justiça;NS/NR;Não;;;;;;;30 a 39 anos;Ensino superior;NS/NR;Trabalha fora;Sudeste;Não;Sim;Importante;Muito importante;Importante;Física;Não;;;
675;Não;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
676;As vezes;Na família;Na Justiça;Não;;;;;;;30 a 39 anos;Não alfabetizada;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Importante;Muito importante;Muito importante;Física;Não;;;
677;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Sim;Em parte;Importante;Importante;Pouco importante;Psicológica;Não;;;
678;As vezes;Na família;Na solicitação de serviços;Sim;Física;3 vezes;até 19 anos;Namorado;Silenciou;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;As vezes;Em parte;Importante;Muito importante;Muito importante;Sexual;Não;;;
679;Sim;No trabalho;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
680;Não;Na família;Na Justiça;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou uma delegacia da mulher;Péssimo;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;Foi para sua casa;
681;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino fundamental;NS/NR;Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Importante;Sexual;Não;;;
682;As vezes;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Pós-graduação;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
683;As vezes;Na família;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
684;As vezes;Nas instituições públicas;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino superior;NS/NR;Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Importante;Física;Não;;;
685;As vezes;Na Justiça;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Importante;Sexual;Não;;;
686;Sim;Na família;Na família;Não;;;;;;;30 a 39 anos;Ensino fundamental;NS/NR;Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
687;As vezes;Na família;Nas instituições públicas;Sim;Física;2 vezes;20 a 29 anos;Marido;Procurou uma delegacia da mulher;Bom;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Importante;Muito importante;Sexual;Sim;Física;Foi para sua casa;
688;Não;Na Justiça;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Sim;Importante;Muito importante;Importante;Sexual;Não;;;
689;Não;Nas instituições públicas;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Sexual;Sim;Moral;;
690;As vezes;Nas instituições públicas;Na Justiça;Sim;Psicológica;2 vezes;30 a 39 anos;NS/NR;NS/NR;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;As vezes;Não;Importante;Importante;Muito importante;Moral;Não;;;
691;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino superior;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Importante;Importante;Importante;Sexual;Não;;;
692;As vezes;Na Justiça;No trabalho;Não;;;;;;;30 a 39 anos;Ensino superior;NS/NR;Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
693;As vezes;Nas instituições públicas;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
694;Sim;No trabalho;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Muito importante;Moral;Não;;;
695;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Importante;Muito importante;Psicológica;Não;;;
696;Não;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
697;Não;NS/NR;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Sim;Física;;
698;Não;Na família;Na Justiça;Não;;;;;;;30 a 39 anos;Ensino médio;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Importante;Importante;Muito importante;Sexual;Sim;Física;;
699;Não;Na família;Na família;Não;;;;;;;30 a 39 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
700;Não;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Importante;Muito importante;Moral;Não;;;
701;Não;Na família;Nas instituições públicas;Não;;;;;;;30 a 39 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Trabalha fora;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
702;Não;Na Justiça;No trabalho;Não;;;;;;;30 a 39 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Sim;Física;;
703;As vezes;No trabalho;Na família;Não;;;;;;;30 a 39 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Sudeste;As vezes;Em parte;Muito importante;Muito importante;Muito importante;Física;Não;;;
704;Não;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino fundamental;NS/NR;Dona de casa;Sudeste;Não;Não;Importante;Importante;Importante;Psicológica;Não;;;
705;As vezes;Na família;No trabalho;Não;;;;;;;30 a 39 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
706;Sim;Na família;Na solicitação de serviços;Não;;;;;;;30 a 39 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
707;Sim;Na família;Na Justiça;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Silenciou;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Sim;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
708;Não;Na Justiça;Na família;Sim;Física;4 vezes ou mais;40 a 49 anos;Marido;Procurou uma delegacia da mulher;Bom;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;NS/NR;Sim;Física;Foi para sua casa;
709;Não;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Em parte;Muito importante;Muito importante;Muito importante;NS/NR;Não;;;
710;Sim;NS/NR;Na família;Não;;;;;;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Importante;Muito importante;Muito importante;Física;Sim;Física;;
711;As vezes;Na família;Na família;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Física;Não;;;
712;As vezes;Na família;Na Justiça;Não;;;;;;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;NS/NR;Não;;;
713;As vezes;NS/NR;Na família;Não;;;;;;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Sim;Física;;
714;Não;No trabalho;Na família;Sim;Psicológica;1 vez;40 a 49 anos;Namorado;Procurou ajuda de amigos;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
715;Não;No trabalho;Na família;Não;;;;;;;40 a 49 anos;Ensino fundamental;3 a 5 salários mínimos (R$780 - R$ 1.300);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Sexual;Não;;;
716;Sim;Na família;Na Justiça;Sim;Psicológica;4 vezes ou mais;40 a 49 anos;Marido;Procurou uma delegacia comum;Regular;40 a 49 anos;Não alfabetizada;Até 2 salários míninos (R$ 520);Dona de casa;Sudeste;Não;Sim;Muito importante;Importante;Importante;Patrimonial;Sim;Física;Foi para sua casa;
717;As vezes;Na Justiça;No trabalho;Não;;;;;;;40 a 49 anos;Ensino superior;Mais de 21 salários mínimos (R$ 5.460);Trabalha fora;Sudeste;As vezes;Em parte;Muito importante;Importante;Importante;Psicológica;Não;;;
718;Não;No trabalho;NS/NR;Sim;Física;4 vezes ou mais;até 19 anos;Marido;Procurou ajuda da família;;40 a 49 anos;Ensino fundamental;Até 2 salários míninos (R$ 520);Trabalha fora;Sudeste;Não;Não;Muito importante;Muito importante;Muito importante;Moral;Sim;Física;;
719;Não;Na família;No trabalho;Sim;Física;1 vez;20 a 29 anos;Marido;Procurou ajuda de amigos;;40 a 49 anos;Ensino médio;6 a 10 salários mínimos (R$ 1.560 - R$ 2.600);Dona de casa;Sudeste;Não;Em parte;Importante;Muito importante;Importante;Física;Sim;Física;;
720;As vezes;Na família;Nas instituições públicas;Não;;;;;;;40 a 49 anos;Ensino médio;NS/NR;Trabalha fora;Sudeste;Não;Sim;Importante;Importante;Importante;Psicológica;Não;;;
721;As vezes;Na família;No trabalho;Não;;;;;;;40 a 49 anos;Ensino médio;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;As vezes;Sim;Muito importante;Muito importante;Muito importante;Psicológica;Não;;;
722;Sim;Na família;Nas instituições públicas;Não;;;;;;;40 a 49 anos;Ensino superior;3 a 5 salários mínimos (R$780 - R$ 1.300);Dona de casa;Sudeste;Não;Sim;Muito importante;Muito importante;Muito importante;Física;Não;;;
723;As vezes;No trabalho;Na família;Não;;;;;;;40 a 49 anos;Ensino superior;11 a 20 salários mínimos (R$2.860 - R$ 5.200);Trabalha fora;Sudeste;Não;Não;Muito importante;Importante;Muito importante;Física;Sim;Física;;
