"ID";"P04";"P05";"P06";"P08";"P10";"P11";"P12";"P15";"P16";"P17";"P19";"P071";"P072";"P073";"P074";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P24";"P25";"P26";"P27";"P28";"P29";"P30";"P31";"P03";"P32";"P33";"P34";"P35";"P36";"P37";"P02";"P13";"P14",
880;Às vezes;Na família;Aumentou;Não denunciam;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Aposentada / Pensionista;Evangélica;Preta;Rio de Janeiro                                           ;Sim;Deve,
881;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Católica;Branca;Rio de Janeiro                                           ;Sim;Deve,
882;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Não;-2;Não;Não;Yes;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Profissional Liberal (Autônoma);Evangélica;Preta;Rio de Janeiro                                           ;Sim;Deve,
883;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Pior;Não;-2;Não;Sim;Yes;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Marido / companheiro;Não;;;Denunciou em uma delegacia comum;;Ruim;;20 a 29 anos;Segunda vez;Sudeste;60 anos ou mais;Até Ensino Fundamental;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Evangélica;Parda;Rio de Janeiro                                           ;Sim;Não deve,
884;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Até Ensino Fundamental;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Evangélica;Branca;Rio Grande do Norte                                      ;Sim;Deve,
885;Às vezes;Na família;Aumentou;Não denunciam;Em parte;Sim;Igual;Sim;Delegacia da Mulher;Sim;Não;No;Yes;Yes;No;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Católica;Parda;Rio Grande do Norte                                      ;Sim;Deve,
886;Não;Na sociedade;Diminuiu;Na minoria das vezes;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Denunciou em uma delegacia comum;;Bom;;50 a 59 anos;Terceira vez ou mais;Sul;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Profissional Liberal (Autônoma);Evangélica;Parda;Rio Grande do Sul                                        ;Sim;Deve
887;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;No;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Dona de casa / Do lar;Católica;Branca;Rio Grande do Sul                                        ;Não;Deve,
888;Não;Na família;Aumentou;Não denunciam;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;No;Yes;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Denunciou em uma delegacia comum;;Péssimo;;40 a 49 anos;NS/NR;Sul;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Dona de casa / Do lar;Evangélica;Branca;Rio Grande do Sul                                        ;Não;Deve
889;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Profissional Liberal (Autônoma);Evangélica;Branca;Rio Grande do Sul                                        ;Não;Deve,
890;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sul;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Aposentada / Pensionista;Católica;Branca;Rio Grande do Sul                                        ;Sim;Deve,
891;Não;Na sociedade;Diminuiu;Na maioria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;Irmão / cunhado;Não;;;Não fez nada;Medo de vingança do agressor;;;30 a 39 anos;Não procurei ajuda ;Sul;60 anos ou mais;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Católica;Branca;Rio Grande do Sul                                        ;Não;Deve,
892;Não;Na família;Aumentou;Na minoria das vezes;Não;Sim;Igual;Não;-2;Sim;Sim;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;NS/NR;-2;Não;;Procurou ajuda da família;;;;50 a 59 anos;Primeira vez;Sul;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Aposentada / Pensionista;Evangélica;NS/NR;Santa Catarina                                           ;Não;Deve,
893;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Central de Atendimento à Mulher (Ligue 180);Não;Não;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Profissional Liberal (Autônoma);Católica;Parda;São Paulo                                               ;Não;Deve,
894;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;NS/NR;Sim;-2;Não;Não;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Empregada doméstica;Católica;Parda;São Paulo                                               ;Sim;Deve,
895;Sim;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;Delegacia da Mulher;Não;Não;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Sem renda;Aposentada / Pensionista;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
896;Às vezes;Na família;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
897;NS/NR;Na família;Aumentou;Na minoria das vezes;Não;Sim;Igual;NS/NR;-2;Sim;Sim;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;NS/NR;;;;30 a 39 anos;Não procurei ajuda ;Sudeste;60 anos ou mais;Até Ensino Fundamental;NS/NR;NS/NR;Evangélica;Preta;São Paulo                                               ;Sim;Deve
898;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Marido / companheiro;Não;;;Não fez nada;Preocupação com a criação dos filhos;;;16 a 19 anos;Não procurei ajuda ;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Aposentada / Pensionista;Católica;Branca;São Paulo                                               ;Sim;Deve,
899;Às vezes;Na família;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;-2;Sim;Não;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Dona de casa / Do lar;Espírita;Branca;São Paulo                                               ;Não;Deve,
900;Não;No trabalho;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;Yes;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Dona de casa / Do lar;Católica;Branca;São Paulo                                               ;Sim;Deve,
901;Não;No trabalho;Aumentou;Na maioria das vezes;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Católica;Branca;São Paulo                                               ;Sim;Deve,
902;Às vezes;Na sociedade;Aumentou;Não denunciam;Não;Sim;Pior;Sim;Central de Atendimento à Mulher (Ligue 180);Não;Não;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Aposentada / Pensionista;Católica;Branca;São Paulo                                               ;Sim;Deve,
903;Às vezes;Na família;Aumentou;Na minoria das vezes;Não;Sim;NS/NR;Sim;Polícia / Delegacia comum;Sim;Não;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;NS/NR;Empregada doméstica;Evangélica;Branca;São Paulo                                               ;Não;Deve,
904;Não;Na família;Aumentou;Não denunciam;Não;Sim;Pior;Sim;Delegacia da Mulher;Sim;Sim;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Marido / companheiro;Não;;;Procurou a Igreja;;;;20 a 29 anos;NS/NR;Sudeste;60 anos ou mais;Até Ensino Fundamental;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Católica;Parda;São Paulo                                               ;Sim;Deve,
905;NS/NR;Na sociedade;Diminuiu;Não denunciam;Não;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;NS/NR;Dona de casa / Do lar;Católica;Branca;São Paulo                                               ;NS/NR;Deve,
906;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;NS/NR;Dona de casa / Do lar;Católica;Branca;São Paulo                                               ;Sim;Deve,
907;Não;No trabalho;Aumentou;Não denunciam;Não;Sim;Igual;NS/NR;-2;Não;Não;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Dona de casa / Do lar;Evangélica;Parda;São Paulo                                               ;NS/NR;Deve,
908;Não;Na família;Aumentou;Não denunciam;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;Irmão / cunhado;Não;;;Não fez nada;Não existir punição;;;50 a 59 anos;Não procurei ajuda ;Sudeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;NS/NR;Evangélica;Branca;São Paulo                                               ;Sim;Deve,
909;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;Igual;Não;-2;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;60 anos ou mais;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Católica;Branca;São Paulo                                               ;Sim;Deve,
910;Não;Na sociedade;Continuou igual;Na minoria das vezes;Sim;Sim;Pior;Não;-2;Sim;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;60 anos ou mais;Até Ensino Fundamental;Até 2 S.M.;Empregada doméstica;Evangélica;Parda;Sergipe                                                  ;Não;Deve,
911;Não;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Até Ensino Fundamental;Mais de 2 a 5 S.M.;Empregada doméstica;Católica;Parda;Alagoas                                                  ;Sim;Deve,
912;Não;Na sociedade;Continuou igual;Não denunciam;Não;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Servidora Pública;Católica;Parda;Amazonas                                                 ;Sim;Deve,
913;Não;Na sociedade;Diminuiu;Não denunciam;Não;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Marido / companheiro;Não;;;Não fez nada;Medo de vingança do agressor;;;16 a 19 anos;Não procurei ajuda ;Nordeste;De 50 a 59 anos;Até Ensino Fundamental;Sem renda;Desempregada;Evangélica;Amarela;Bahia                                                    ;Sim;Deve,
914;Não;Na família;Continuou igual;Não denunciam;Em parte;Sim;Melhor;Não;-2;Não;Não;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Até Ensino Fundamental;NS/NR;Profissional Liberal (Autônoma);Católica;Parda;Bahia                                                    ;Sim;Deve,
915;Às vezes;Na sociedade;Diminuiu;Na maioria das vezes;Em parte;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Sim;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Marido / companheiro;Sim;Não;;Procurou ajuda da família;;;;20 a 29 anos;Primeira vez;Nordeste;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Parda;Bahia                                                    ;Sim;Deve,
916;Não;Na família;Continuou igual;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Nordeste;De 50 a 59 anos;Até Ensino Fundamental;Sem renda;Profissional Liberal (Autônoma);Católica;Parda;Ceará                                                   ;Não;Deve,
917;Às vezes;No trabalho;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;No;No;No;No;No;Yes;Yes;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Profissional Liberal (Autônoma);Evangélica;Parda;Espírito Santo                                          ;Sim;Deve,
918;Não;Na família;Aumentou;Não denunciam;Não;Sim;Pior;Não;-2;Sim;Não;Yes;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;Yes;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;NS/NR;Profissional Liberal (Autônoma);Outra;NS/NR;Espírito Santo                                          ;Sim;NS/NR,
919;Não;No trabalho;Aumentou;Na minoria das vezes;Não;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Não;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Profissional Liberal (Autônoma);Evangélica;Parda;Goiás                                                   ;Não;Deve,
920;Não;Na família;Aumentou;Não denunciam;Sim;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Marido / companheiro;Não;;;Procurou ajuda da família;;;;40 a 49 anos;Primeira vez;Nordeste;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Profissional Liberal (Autônoma);Católica;Preta;Maranhão                                                ;Sim;Deve,
921;Não;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Não;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Centro-Oeste;De 50 a 59 anos;Até Ensino Fundamental;Mais de 10 S.M.;Profissional Liberal (Autônoma);Católica;Branca;Mato Grosso                                              ;Sim;Deve,
922;Às vezes;Na família;Aumentou;Não denunciam;Em parte;Sim;Melhor;Não;-2;Não;Não;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Empregada doméstica;Evangélica;Branca;Minas Gerais                                             ;Sim;Deve,
923;Às vezes;Na sociedade;Aumentou;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Família;Sim;Não;Yes;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Outra;Branca;Minas Gerais                                             ;Sim;Deve,
924;Às vezes;Na família;Aumentou;Na maioria das vezes;Em parte;Sim;Melhor;Sim;-2;Não;Sim;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;Marido / companheiro;Não;;;Procurou a Igreja;;;;16 a 19 anos;Primeira vez;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Sem renda;NS/NR;Evangélica;Parda;Minas Gerais                                             ;Sim;Deve,
925;Às vezes;Na família;Continuou igual;Na minoria das vezes;Sim;Sim;Melhor;Sim;Delegacia da Mulher;Sim;Sim;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;Ex-namorado,ex-marido ou ex-companheiro;Não;;;Outra opção;;;;30 a 39 anos;Terceira vez ou mais;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Evangélica;Parda;Minas Gerais                                             ;Sim;Deve
926;Às vezes;Na família;Aumentou;Na minoria das vezes;Em parte;Sim;Igual;Sim;Polícia / Delegacia comum;Não;Não;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Dona de casa / Do lar;Evangélica;Branca;Minas Gerais                                             ;Sim;Deve,
927;Não;Na sociedade;Aumentou;Na minoria das vezes;Não;Sim;Igual;Sim;-2;Sim;Sim;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;Outro;-2;Não;;Procurou a Igreja;;;;20 a 29 anos;Terceira vez ou mais;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;NS/NR;Dona de casa / Do lar;Evangélica;Amarela;Minas Gerais                                             ;Sim;Deve,
928;Às vezes;Na família;Aumentou;Na maioria das vezes;Não;Sim;NS/NR;Sim;Polícia / Delegacia comum;Sim;Não;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;NS/NR;Dona de casa / Do lar;Outra;Branca;Minas Gerais                                             ;Sim;Deve,
929;Não;Na sociedade;Aumentou;Não denunciam;Não;Sim;Igual;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Marido / companheiro;Não;;;Denunciou em uma delegacia comum;;Péssimo;;30 a 39 anos;NS/NR;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Católica;Indígena;Minas Gerais                                             ;Não;Deve,
930;Não;Na família;Aumentou;NS/NR;Não;Sim;Melhor;Sim;Delegacia da Mulher;Não;Não;Yes;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Até 2 S.M.;Aposentada / Pensionista;Evangélica;Branca;Minas Gerais                                             ;Não;Deve,
931;Às vezes;Na família;Continuou igual;Na minoria das vezes;Em parte;Sim;Melhor;Sim;Polícia / Delegacia comum;Sim;Sim;Yes;Yes;No;No;No;No;No;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;Yes;No;No;Yes;No;No;Marido / companheiro;Sim;Não;;Não fez nada;Preocupação com a criação dos filhos;;;20 a 29 anos;Não procurei ajuda ;Sudeste;De 50 a 59 anos;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Católica;Amarela;Minas Gerais                                             ;Sim;Deve,
932;Não;Na família;Aumentou;Na minoria das vezes;Não;Sim;Pior;Sim;Família;Não;Não;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;;;;;;;;;-2;;;;;;;;-2;Norte;De 50 a 59 anos;Até Ensino Fundamental;Sem renda;Dona de casa / Do lar;Católica;Parda;Pará                                                    ;Sim;Deve,
