"ID";"P04";"P05";"P10";"P11";"P19";"P2001";"P2002";"P2003";"P2004";"P2005";"P2006";"P2007";"P2008";"P2009";"P2010";"P2011";"P211";"P212";"P213";"P214";"P215";"P216";"P217";"P22";"P23";"P25";"P26";"P28";"P30";"P06";"P08";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P15";"P16";"P17";"P181";"P182";"P183";"P184";"P185";"P186";"P187";"P24";"P27";"P29";"P31";"P32";"P33";"Renda2";"P35";"P37";"P36";"P03";"P02";"P071";"P072";"P073";"P074";"P12";"P13";"P14";"P34"
914;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;60 ou mais;Ens. Superior;Mais de 5 S.M.;Servidora Pública;Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 10 S.M.
915;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;60 ou mais;Ens. Médio;Mais de 2 a 5 S.M.;Dona de casa / Do lar;Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
916;Não;Na sociedade;Em parte;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Namorado;Não;;Denunciou em uma Delegacia da Mulher;Ruim;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;1ª vez;20 a 29 anos;Ens. Médio;Até 2 S.M.;Servidora Pública;Branca;Católica;Sudeste;São Paulo;Sim;Não;Não;Não;Igual;Não;Sim;Até 2 S.M.
917;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;50 a 59 anos;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Preta;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
918;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;NS/NR;;;;;;;;;;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;40 a 49 anos;Ens. Médio;Mais de 2 a 5 S.M.;Profissional Liberal (Autônoma);Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
919;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;50 a 59 anos;Ens. Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
920;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
921;Não;Na família;Em parte;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Não;;Procurou ajuda dos amigos;;50 a 59 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;1ª vez;60 ou mais;Ens. Médio;Até 2 S.M.;Dona de casa / Do lar;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Não;Não;Igual;Sim;Sim;Até 2 S.M.
922;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na maioria das vezes;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;NS/NR;Estudante;Branca;Evangélica;Sudeste;São Paulo;Sim;Sim;Sim;Não;Igual;Não;Sim;NS/NR
923;Às vezes;No trabalho;Não;Sim;Sim;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Não;Tio / Primo;Não;;Denunciou em uma Delegacia da Mulher;Péssimo;16 a 19 anos;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Sim;Sim;Não;Não;;;;1ª vez;30 a 39 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Evangélica;Sudeste;São Paulo;Não;Não;Sim;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
924;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Sim;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Não;Sim;Sim;Não;Melhor;Não;Sim;Mais de 10 S.M.
925;Às vezes;No trabalho;Em parte;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Marido / companheiro;Não;;Denunciou em uma delegacia comum;Bom;20 a 29 anos;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;3ª vez ou +;40 a 49 anos;Ens. Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Parda;Evangélica;Sudeste;São Paulo;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
926;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;NS/NR;;Sim;Não;Não;Sim;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Sim;Não;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
927;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;40 a 49 anos;Ens. Médio;NS/NR;NS/NR;Parda;Católica;Sudeste;São Paulo;Sim;Não;Sim;Não;Igual;Não;Sim;NS/NR
928;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;30 a 39 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Preta;Evangélica;Sudeste;São Paulo;Sim;Sim;Não;Não;Igual;Sim;Sim;Sem renda
929;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;60 ou mais;Ens. Superior;NS/NR;Funcionária de empresa privada;Branca;Espírita;Sudeste;São Paulo;Sim;Não;Sim;Não;Igual;Sim;Sim;NS/NR
930;Às vezes;Na família;Em parte;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Não;;Denunciou em uma delegacia comum;Bom;20 a 29 anos;Aumentou;Não denunciam;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;3ª vez ou +;40 a 49 anos;Até Ens. Fund.;NS/NR;Empregada doméstica;Parda;Católica;Sudeste;São Paulo;Sim;Não;Não;Não;Melhor;NS/NR;Sim;NS/NR
931;Às vezes;NS/NR;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Profissional Liberal (Autônoma);Parda;Católica;Sudeste;São Paulo;Não;Sim;Não;Não;Igual;Sim;Sim;Até 2 S.M.
932;Não;Na sociedade;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Sim;;Outra opção <b>(Não ler)</b>;;30 a 39 anos;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;;;1ª vez;30 a 39 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Parda;Católica;Sudeste;São Paulo;Não;Sim;Sim;Não;Melhor;Sim;Sim;Sem renda
933;Às vezes;Na família;Em parte;Sim;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Marido / companheiro;Sim;;Procurou a Igreja;;20 a 29 anos;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;;;1ª vez;30 a 39 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Parda;Evangélica;Sudeste;São Paulo;Sim;Não;Não;Não;Melhor;Não;Sim;Sem renda
934;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Não;Não;Não;Sim;Não;;;;;60 ou mais;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Sim;Não;Igual;Sim;Sim;Sem renda
935;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Parda;Católica;Sudeste;São Paulo;Sim;Não;Sim;Não;Igual;Não;Sim;Até 2 S.M.
936;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;NS/NR;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Não;Não;Melhor;Sim;Sim;NS/NR
937;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Não denunciam;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Sem renda;Desempregada;Branca;Católica;Sudeste;São Paulo;Não;Sim;Não;Não;Igual;Sim;Sim;Sem renda
938;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Igual;Sim;Sim;Mais de 5 a 10 S.M.
939;NS/NR;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Outras respostas ;Não;;;;;;;;;;;;60 ou mais;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Branca;Católica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Sim;Sim;Sem renda
940;Não;Na família;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Sim;;Denunciou em uma delegacia comum;Ótimo;50 a 59 anos;Aumentou;Não denunciam;Não;Sim;Não;Não;Sim;Não;Não;Não;Não;NS/NR;;Sim;Não;Não;Não;Sim;Não;Não;Não;Não;;;1ª vez;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada / Pensionista;Branca;Católica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
941;Sim;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Não;Sim;Mais de 5 a 10 S.M.
942;Às vezes;Na família;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;;Sim;Sim;Não;Sim;Não;Não;Não;Não;;;;;30 a 39 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
943;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;50 a 59 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Branca;Católica;Sudeste;São Paulo;Não;Sim;Sim;Não;Igual;Não;Sim;Sem renda
944;Às vezes;Na sociedade;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Outro;;;Outra opção <b>(Não ler)</b>;;0 a 15 anos;Aumentou;Na maioria das vezes;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;Não;;;Não procurou ajuda;30 a 39 anos;Ens. Médio;NS/NR;Dona de casa / Do lar;Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;;;;NS/NR
945;Não;Na família;Não;Sim;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Marido / companheiro;Não;;Não fez nada;;30 a 39 anos;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Sim;Não;Não;;Preocupação com a criação dos filhos;;3ª vez ou +;50 a 59 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Sim;Não;Igual;Não;Sim;Sem renda
946;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;;Não;;;;;;;;;;;;20 a 29 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
947;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Sim;Não;Sim;Sim;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;50 a 59 anos;Ens. Superior;Mais de 2 a 5 S.M.;Aposentada / Pensionista;Branca;Católica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Não;Sim;Mais de 2 a 5 S.M.
948;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;NS/NR;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Evangélica;Sudeste;São Paulo;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
949;Não;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Branca;Espírita;Sudeste;São Paulo;Sim;Sim;Não;Não;Melhor;Sim;Sim;Mais de 5 a 10 S.M.
950;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Não;Não;Não;Não;Sim;Não;Não;;;;;40 a 49 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Sudeste;São Paulo;Sim;Sim;Não;Não;Melhor;Sim;Sim;Até 2 S.M.
951;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Sim;Sim;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;40 a 49 anos;Ens. Superior;Mais de 5 S.M.;Servidora Pública;Parda;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Melhor;Não;Sim;Mais de 5 a 10 S.M.
952;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;60 ou mais;NS/NR;Mais de 5 S.M.;Funcionária de empresa privada;Branca;Espírita;Sudeste;São Paulo;Sim;Não;Não;Não;NS/NR;Sim;Sim;Mais de 5 a 10 S.M.
953;Sim;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Superior;Mais de 5 S.M.;Profissional Liberal (Autônoma);Branca;NS/NR ;Sudeste;São Paulo;Não;Sim;Sim;Não;Igual;Não;Sim;Mais de 5 a 10 S.M.
954;Sim;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Não;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
955;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Continua igual;Na minoria das vezes;Não;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;60 ou mais;Ens. Superior;Mais de 2 a 5 S.M.;Servidora Pública;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Sim;Não;Igual;Não;Sim;Mais de 2 a 5 S.M.
956;Às vezes;Na sociedade;Em parte;Sim;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Sim;Não;Não;Outro;;;Outra opção <b>(Não ler)</b>;;20 a 29 anos;Aumentou;Na minoria das vezes;Sim;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;;;1ª vez;20 a 29 anos;Ens. Superior;NS/NR;Servidora Pública;Branca;Evangélica;Sudeste;São Paulo;Não;Não;Sim;Não;Igual;Sim;Sim;NS/NR
957;Não;Na família;Não;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Não;Marido / companheiro;Não;;Não fez nada;;20 a 29 anos;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Sim;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;Medo de vingança do agressor;;Não procurou ajuda;40 a 49 anos;Ens. Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Espírita;Sudeste;São Paulo;Sim;Não;Não;Não;Igual;Sim;Sim;Mais de 2 a 5 S.M.
958;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Outras respostas ;Não;;;;;;;;;;;;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Sim;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
959;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Sim;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
960;Sim;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;Sem renda;Dona de casa / Do lar;Branca;Evangélica;Sudeste;São Paulo;Sim;Sim;Não;Não;Melhor;Não;Sim;Sem renda
961;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Ens. Médio;Mais de 2 a 5 S.M.;Funcionária de empresa privada;Branca;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Melhor;Sim;Sim;Mais de 2 a 5 S.M.
962;Sim;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;NS/NR;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Superior;Mais de 5 S.M.;Funcionária de empresa privada;Branca;Espírita;Sudeste;São Paulo;Sim;Sim;Sim;Não;Pior;Não;Sim;Mais de 5 a 10 S.M.
963;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;30 a 39 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Branca;Evangélica;Sudeste;São Paulo;Não;Sim;Sim;Não;Melhor;Sim;Sim;Até 2 S.M.
964;Não;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Não;Não;Não;Sim;Não;Não;Não;Não;Não;Sim;Polícia / Delegacia comum;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;20 a 29 anos;Até Ens. Fund.;Sem renda;Dona de casa / Do lar;Parda;Evangélica;Sudeste;São Paulo;Sim;Não;Não;Não;Igual;Sim;Sim;Sem renda
965;Não;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Não;;Sim;Sim;Não;Não;Não;Não;Não;Não;;;;;60 ou mais;Até Ens. Fund.;NS/NR;Dona de casa / Do lar;NS/NR ;Católica;Sudeste;São Paulo;Não;Não;Sim;Não;Pior;Não;Sim;NS/NR
966;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Delegacia da Mulher;Sim;Não;Não;Não;Não;Não;Sim;Não;;;;;50 a 59 anos;Ens. Médio;Sem renda;Dona de casa / Do lar;Branca;Evangélica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Sim;Sim;Sem renda
967;Às vezes;No trabalho;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Não;Sim;Não;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Parda;Evangélica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Sim;Sim;Sem renda
968;Sim;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;20 a 29 anos;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Parda;Evangélica;Sudeste;São Paulo;Sim;Não;Sim;Não;Igual;Sim;Sim;Até 2 S.M.
969;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Não;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Delegacia da Mulher;Sim;Sim;Não;Não;Não;Sim;Não;Não;;;;;40 a 49 anos;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal (Autônoma);Branca;Evangélica;Sudeste;São Paulo;Sim;Não;Sim;Não;Melhor;Não;Sim;Até 2 S.M.
