"ID";"P01";"P02";"P03";"P04";"P07";"P08";"P12";"P13";"P15";"P18";"P19";"P20";"P21";"P22";"P23";"P24";"P25";"P27";"P061";"P062";"P063";"P064";"P065";"P066";"P111";"P112";"P113";"P114";"P141";"P142";"P143";"P144";"P145";"P146";"P171";"P172";"P173";"P174";"P175";"P176";"P1601";"P1602";"P1603";"P1604";"P1605";"P1606";"P1607";"P1608";"P1609";"P1610";"P261";"P262";"P263";"P264";"P265";"P266";"P267";"P268";"P28";"P29";"P30";"P31";"P32";"P33";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P051";"P052";"P053";"P054";"P055";"P056";"P057";"P058";"P10",,
633;Às vezes;Na família;Aumentou;Às vezes;Em parte;Sim;Família;Sim;Sim;Marido;Não;;;Denunciou em delegacia comum;;Bom;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;40 a 49 anos;Ensino Médio;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Evangélica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,
634;Não;Na família;Aumentou;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;40 a 49 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Servidora pública;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
635;Às vezes;Na família;Aumentou;Às vezes;Não;Sim;Outras respostas;Sim;Sim;Marido;Sim;Não;;Não fez nada;Outra opção;;50 a 59 anos;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Católica;Região Nordeste;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
636;Às vezes;Na família;Continua igual;Às vezes;Em parte;Sim;NS/NR;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;Yes;No;No;No;No;60 anos ou +;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Aposentada;Católica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Não,
637;Não;No trabalho;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
638;Não;Na sociedade;Aumentou;Às vezes;Não;Sim;Outras respostas;Sim;Sim;Marido;Sim;NS/NR;;Não fez nada;Outra opção;;20 a 29 anos;Sim;Yes;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;20 a 29 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
639;Não;Na família;Aumentou;Não;Em parte;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Católica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Sim
640;Não;Na sociedade;Continua igual;Não;Em parte;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;60 anos ou +;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Aposentada;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
641;Sim;Na sociedade;Aumentou;Sim;Sim;Sim;Outras respostas;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim,
642;Às vezes;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Sim;Companheiro;Sim;Não;;Outra opção;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Não
643;Não;Na família;Continua igual;Sim;Não;Sim;Polícia / Delegacia;Sim;Sim;Marido;Sim;Não;;Outra opção;;;50 a 59 anos;Não;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não,
644;Não;Na sociedade;Continua igual;Não;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;No;Yes;Yes;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;Yes;Yes;No;Yes;Yes;No;20 a 29 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Funcionária de empresa privada;Sem religião - Ateu;Região Nordeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Sim,
645;Às vezes;No trabalho;Aumentou;Às vezes;Não;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;NS/NR;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;30 a 39 anos;5ª a 8ª série do Fund.;NS/NR;Do Lar (Dona de casa);Católica;Região Nordeste;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Sim,,
646;Não;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;30 a 39 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Sem religião - Ateu;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
647;Às vezes;Na sociedade;Diminuiu;Não;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;Yes;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;Yes;No;30 a 39 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;Yes;Yes;No;No;No;No;No;;;;;;;;;Não
648;Não;No trabalho;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;Yes;No;No;20 a 29 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Desempregada;Outras religiões;Região Nordeste;No;No;No;No;No;No;No;Yes;No;;;;;;;;;Sim
649;Às vezes;Na família;Aumentou;Não;Em parte;Sim;NS/NR;Sim;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;30 a 39 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Outras religiões;Região Nordeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Sim,
650;Não;Na sociedade;Aumentou;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Até 1 salário mínimo (Até R$ 415,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;;;;;;;;;Não,
651;Às vezes;Na família;Aumentou;Não;Em parte;Sim;Entidades/Associações de proteção à mulher;Não;Não;;;;;;;;;Sim;No;Yes;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;50 a 59 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Católica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Sim
652;Às vezes;Na sociedade;Aumentou;Às vezes;Sim;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;No;No;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;5ª a 8ª série do Fund.;NS/NR;Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Não,,
653;Às vezes;Na sociedade;Aumentou;Não;Em parte;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;40 a 49 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Servidora pública;Católica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;;;;;;;;;Sim
654;Não;Na sociedade;Diminuiu;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Profissional liberal (Autônoma);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
655;Não;Na sociedade;Aumentou;Sim;Não;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Evangélica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
656;Às vezes;No trabalho;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;No;Yes;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
657;NS/NR;NS/NR;Continua igual;Às vezes;Em parte;Sim;Outras respostas;Não;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;Yes;Yes;No;No;Yes;No;60 anos ou +;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;Sim,
658;Às vezes;No trabalho;Diminuiu;Não;Em parte;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;No;No;No;Yes;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;Yes;No;30 a 39 anos;Ensino Médio;Mais de 10 SM (Mais de R$ 4.150,00);Do Lar (Dona de casa);Evangélica;Região Nordeste;No;No;No;Yes;No;No;No;No;No;;;;;;;;;Não,
659;Às vezes;Na família;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Sim;Marido;Não;;;Outra opção;;;20 a 29 anos;Sim;Yes;No;No;No;No;No;Yes;Yes;Yes;No;Yes;No;Yes;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Empregada doméstica;Católica;Região Nordeste;No;No;Yes;No;No;No;No;No;No;;;;;;;;;Sim,
660;Às vezes;Outros ambientes;Aumentou;Não;Sim;Sim;Outras respostas;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;60 anos ou +;Até a 4ª série do Fund.;Até 1 salário mínimo (Até R$ 415,00);Do Lar (Dona de casa);Católica;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,
661;Às vezes;Na família;Aumentou;Não;Não;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;Yes;No;No;No;No;60 anos ou +;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Espírita;Região Nordeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
662;Não;Outros ambientes;Continua igual;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Sem religião - Ateu;Região Nordeste;Yes;No;No;No;No;No;No;No;No;;;;;;;;;Sim,
663;Às vezes;Na família;Aumentou;Às vezes;Sim;Sim;Delegacia da Mulher;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;No;Yes;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Empregada doméstica;Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Sim
664;Às vezes;Na família;Diminuiu;Às vezes;Não;Não;Família;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Evangélica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
665;Sim;No trabalho;Aumentou;Não;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;Yes;Yes;Yes;No;Yes;Yes;No;50 a 59 anos;Ensino Superior;NS/NR;Servidora pública;Outras religiões;Região Sudeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Não,,
666;Às vezes;No trabalho;Diminuiu;Às vezes;Sim;Sim;Delegacia da Mulher;Sim;Sim;Marido;Não;;;Denunciou em delegacia comum;;Ótimo;20 a 29 anos;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;Yes;No;No;No;20 a 29 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Evangélica;Região Sudeste;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Sim
667;Não;No trabalho;Continua igual;Não;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;Yes;Yes;Yes;Yes;No;Yes;No;No;30 a 39 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
668;Às vezes;Na família;Aumentou;Não;Não;Sim;Outras respostas;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Evangélica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
669;Às vezes;No trabalho;Aumentou;Não;Sim;Sim;Polícia / Delegacia;Sim;Sim;Marido;Não;;;Não fez nada;A certeza de que seria a última vez;;30 a 39 anos;Não;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;40 a 49 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Sem religião - Ateu;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
670;Não;No trabalho;Continua igual;Às vezes;Não;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;Yes;No;No;No;No;No;20 a 29 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Outras religiões;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
671;Não;Na família;Continua igual;Às vezes;Sim;Sim;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;Yes;No;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;Yes;Yes;No;No;50 a 59 anos;Ensino Superior;Mais de 10 SM (Mais de R$ 4.150,00);Servidora pública;Espírita;Região Sudeste;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,
672;Às vezes;Na sociedade;Aumentou;Não;Sim;Sim;Polícia / Delegacia;Sim;Sim;Filhos;Sim;Não;;Outra opção;;;60 anos ou +;Sim;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;60 anos ou +;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Do Lar (Dona de casa);Outras religiões;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
673;Não;Na família;Aumentou;Não;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;40 a 49 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Empregada doméstica;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
674;Às vezes;Outros ambientes;Continua igual;Não;Em parte;Sim;NS/NR;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;Yes;No;30 a 39 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
675;Às vezes;Na família;Diminuiu;Às vezes;Sim;Não;NS/NR;Sim;Sim;Marido;Não;;;Outra opção;;;16 a 19 anos;Não;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;40 a 49 anos;5ª a 8ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Empregada doméstica;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;No;Yes;Sim
676;Às vezes;Na sociedade;Aumentou;Não;Em parte;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Não;Yes;No;No;No;Yes;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;Yes;No;No;No;Yes;No;No;50 a 59 anos;Ensino Superior;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Funcionária de empresa privada;Evangélica;Região Sudeste;;;;;;;;;;;;;;;;;;Sim
677;Às vezes;Na família;Continua igual;Às vezes;Sim;Não;Polícia / Delegacia;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;No;No;No;No;No;No;No;Yes;40 a 49 anos;Ensino Médio;Mais de 1 a 2 SM  (R$ 415,01 a R$ 830,00);Funcionária de empresa privada;Católica;Região Sudeste;;;;;;;;;;No;No;No;No;No;No;Yes;No;Sim
678;Não;Na sociedade;Aumentou;Às vezes;Em parte;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;Yes;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;Ensino Superior;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Servidora pública;Outras religiões;Região Sudeste;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Não
679;Às vezes;Na família;Aumentou;Não;Em parte;Sim;NS/NR;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;No;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;16 a 19 anos;Ensino Médio;NS/NR;Desempregada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não,,
680;Não;Na sociedade;Continua igual;Não;Não;Sim;Outras respostas;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;Yes;No;Yes;No;20 a 29 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Profissional liberal (Autônoma);Espírita;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Não
681;Não;Outros ambientes;Aumentou;Às vezes;Sim;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;No;No;No;Yes;No;No;No;50 a 59 anos;Até a 4ª série do Fund.;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Profissional liberal (Autônoma);Evangélica;Região Centro Oeste;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Não
682;Às vezes;No trabalho;Aumentou;Às vezes;Sim;Sim;Delegacia da Mulher;Não;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;No;No;Yes;No;;;;;;;;;;;;;;;;;;;;;;;Yes;No;No;No;No;No;No;No;30 a 39 anos;5ª a 8ª série do Fund.;NS/NR;Do Lar (Dona de casa);Outras religiões;Região Sudeste;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim,,
683;Às vezes;Na sociedade;Continua igual;Não;Não;Sim;NS/NR;Sim;Não;;;;;;;;;Sim;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;No;No;No;;;;;;;;;;;;;;;;;Yes;Yes;No;No;No;No;No;No;60 anos ou +;Ensino Médio;NS/NR;Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,,
684;Não;No trabalho;Diminuiu;Às vezes;Sim;Sim;Delegacia da Mulher;Sim;Sim;Marido;Não;;;Denunciou em Delegacia da Mulher (Ir para P24);;Bom;20 a 29 anos;Sim;Yes;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;40 a 49 anos;Ensino Médio;Mais de 2 a 5 SM (R$ 830,01 a R$ 2.075,00);Do Lar (Dona de casa);Evangélica;Região Sudeste;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;Sim
685;Não;No trabalho;Aumentou;Não;Não;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;Yes;No;Yes;No;No;No;No;No;16 a 19 anos;Ensino Médio;NS/NR;Funcionária de empresa privada;Católica;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim,,
686;Às vezes;Na família;Continua igual;Não;Em parte;Sim;NS/NR;Sim;Sim;Marido;Não;;;Outra opção;;;20 a 29 anos;Sim;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;30 a 39 anos;Ensino Médio;NS/NR;Do Lar (Dona de casa);Católica;Região Sudeste;No;No;No;No;Yes;No;No;No;No;;;;;;;;;Não,,
687;Às vezes;Na sociedade;Aumentou;Não;Sim;Sim;Polícia / Delegacia;Sim;Não;;;;;;;;;Não;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;;;;;;;;;;;;;;;;;No;Yes;No;No;No;No;No;No;50 a 59 anos;Ensino Médio;Mais de 5 a 10 SM (R$ 2.075,01 a  R$ 4.150,00);Funcionária de empresa privada;Espírita;Região Sudeste;No;No;No;No;No;No;No;No;Yes;;;;;;;;;Sim
