"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
600;Às vezes;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Não;Não     
601;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Pós-Graduada       ;Mais de 20 SM (acima de R$ 7.000)          ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
602;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;SP;Sim;Estimular o debate social sobre o tema                                    ;Sim;Sim     
603;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Servidora Pública              ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
604;Não     ;Na sociedade;Em parte;Sim;Ciúmes                  ;Física             ;Namorado   ;Não  ;                            ;Procurou ajuda dos amigos       ;       ;16 a 19 anos;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
605;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;SP;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
606;Não     ;No trabalho ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Regular;20 a 29 anos;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Empregada Doméstica            ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
607;Não     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;SP;Sim;Outra opção                                                               ;Sim;Sim     
608;Sim     ;Outros      ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Sim;Não     
609;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Não;Não     
610;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Estudante                      ;SP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Sim     
611;Não     ;Na família  ;Não     ;Sim;Ciúmes                  ;Psicológica        ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;30 a 39 anos;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Outra opção                                                               ;Não;Não     
612;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
613;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Psicológica        ;Marido     ;Sim  ;Não sofro mais violência    ;Denunciou em Delegacia da Mulher;Péssimo;16 a 19 anos;40 a 49 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);SP;Sim;Outra opção                                                               ;Não;Não     
614;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
615;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
616;Não     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);SP;Sim;Outra opção                                                               ;Sim;Não     
617;Às vezes;Na família  ;Em parte;Sim;Uso do álcool           ;Todas as anteriores;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Ótimo  ;16 a 19 anos;40 a 49 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;SP;Sim;Outra opção                                                               ;Sim;Sim     
618;Não     ;No trabalho ;NS/NR   ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Estudante                      ;SP;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
619;Sim     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;NS/NR                                      ;Profissional Liberal (Autônoma);SP;Sim;Denunciar                                                                 ;Sim;Sim     
620;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Não alfabetizada   ;NS/NR                                      ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Não;Sim     
621;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Estudante                      ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
622;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;NS/NR                                      ;Profissional Liberal (Autônoma);SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
623;Sim     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Desempregada                   ;SP;Sim;Denunciar                                                                 ;Não;Não     
624;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia da Mulher;Bom    ;50 a 59 anos;50 a 59 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;SP;Sim;Denunciar                                                                 ;Sim;Em parte
625;Não     ;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
626;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);SP;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
627;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Não     
628;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;NS/NR                                      ;Do Lar ( Dona de casa)         ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
629;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Servidora Pública              ;SP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Em parte
630;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
631;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Não;Não     
632;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
633;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;NS/NR                                      ;Aposentada                     ;SP;Sim;Outra opção                                                               ;Não;Sim     
634;Sim     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;SP;Sim;Estimular o debate social sobre o tema                                    ;Sim;Em parte
635;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;SP;Sim;Outra opção                                                               ;Sim;Em parte
636;Não     ;No trabalho ;Não     ;Sim;Uso do álcool           ;Física             ;Companheiro;Não  ;                            ;Denunciou em Delegacia da Mulher;Ótimo  ;20 a 29 anos;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Outras ocupações               ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
637;Às vezes;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;NS/NR                                      ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
638;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Outras ocupações               ;SP;Sim;Outra opção                                                               ;Sim;Não     
639;Não     ;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
640;Não     ;Na sociedade;Não     ;Sim;Falta de dinheiro       ;Moral              ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Regular;40 a 49 anos;40 a 49 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
641;Às vezes;Na família  ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
642;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
643;Não     ;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;SP;Sim;Outra opção                                                               ;Não;Em parte
644;Sim     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
645;Não     ;Na família  ;Não     ;Sim;Ciúmes                  ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Não fez nada                    ;       ;16 a 19 anos;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
646;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Não;Não     
647;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Desempregada                   ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
648;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Em parte
649;Sim     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;SP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
650;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Profissional Liberal (Autônoma);SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
651;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;SP;Sim;Outra opção                                                               ;Sim;Sim     
652;Às vezes;Outros      ;Não     ;Sim;Ciúmes                  ;Moral              ;NS/NR      ;Não  ;                            ;Não fez nada                    ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Desempregada                   ;SP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Sim     
653;Sim     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;NS/NR                                      ;Outras ocupações               ;SP;Sim;Outra opção                                                               ;Não;Não     
654;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Empregada Doméstica            ;SP;Sim;Denunciar                                                                 ;Não;Não     
655;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Não;Melhorar a assistência às vítimas                                         ;Sim;Em parte
656;Não     ;Na sociedade;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Regular;30 a 39 anos;60 anos ou +;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
657;Não     ;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
658;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;NS/NR                                      ;Outras ocupações               ;SP;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
659;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;NS/NR                                      ;Do Lar ( Dona de casa)         ;SP;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Em parte
660;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Não;Não     
661;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Servidora Pública              ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
662;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Estudante                      ;SP;Sim;Denunciar                                                                 ;Não;Sim     
663;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;NS/NR                                      ;Profissional Liberal (Autônoma);SP;Sim;Denunciar                                                                 ;Sim;Sim     
664;Sim     ;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;SP;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Não;Em parte
665;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
666;Não     ;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
667;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Em parte
668;Sim     ;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Profissional Liberal (Autônoma);SP;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
669;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;NS/NR                                      ;Do Lar ( Dona de casa)         ;SP;Sim;Melhorar a assistência às vítimas                                         ;Não;Não     
670;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
671;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Sim;Não     
672;Às vezes;Outros      ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);SP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Sim;Em parte
673;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Não;Em parte
674;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;SP;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
675;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Empregada Doméstica            ;SP;Sim;Outra opção                                                               ;Sim;Não     
676;Sim     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Pós-Graduada       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Funcionária de empresa privada ;SP;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
677;Não     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
678;Não     ;Na sociedade;Em parte;Sim;Ciúmes                  ;Física             ;Marido     ;Não  ;                            ;Procurou ajuda dos amigos       ;       ;20 a 29 anos;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;SP;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
679;Sim     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);SP;Sim;Denunciar                                                                 ;Não;Em parte
680;Não     ;Na família  ;Não     ;Sim;Falta de dinheiro       ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Procurou ajuda da família       ;       ;20 a 29 anos;40 a 49 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
681;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
682;Não     ;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Desempregada                   ;SP;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
683;Às vezes;Na sociedade;Não     ;Sim;Uso do álcool           ;Moral              ;Companheiro;Não  ;                            ;Denunciou em Delegacia Comum    ;Bom    ;50 a 59 anos;60 anos ou +;Não alfabetizada   ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);SP;Sim;Denunciar                                                                 ;Sim;Sim     
684;Não     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Aposentada                     ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;NS/NR   
685;Não     ;Outros      ;Em parte;Sim;Influência de familiares;Psicológica        ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Regular;20 a 29 anos;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
686;Às vezes;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Não;Denunciar                                                                 ;Não;Sim     
687;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;NS/NR                                      ;Desempregada                   ;SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Sim     
688;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Pós-Graduada       ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Funcionária de empresa privada ;SP;Sim;Outra opção                                                               ;Sim;Em parte
689;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
690;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Não;Denunciar                                                                 ;Não;Não     
691;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Não;Sim     
692;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;NS/NR                                      ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
693;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Todas as anteriores;Marido     ;Sim  ;Não sofro mais violência    ;Denunciou em Delegacia Comum    ;Péssimo;16 a 19 anos;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
