"ID";"P04";"P05";"P10";"P11";"P20";"P2101";"P2102";"P2103";"P2104";"P2105";"P2106";"P2107";"P2108";"P2109";"P2110";"P2111";"P221";"P222";"P223";"P224";"P225";"P226";"P227";"P24";"P26";"P27";"P29";"P31";"P06";"P07";"P091";"P092";"P093";"P094";"P095";"P096";"P097";"P098";"P099";"P16";"P17";"P18";"P191";"P192";"P193";"P194";"P195";"P196";"P197";"P25";"P28";"P30";"P32";"P03";"P02";"P34";"P35";"P36";"P37";"P38";"P39";"P12";"P13";"P141";"P142";"P143";"P144";"P15";"P23";"P33_1";"P33_2",
1131;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Pernambuco;20 a 29;Ens. Médio;Até 2 S.M.;Do Lar;Católica;Preta;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1132;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Pernambuco;30 a 39;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Outras religiões;Parda;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1133;Às vezes;Na sociedade;Em parte;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Não;;Não fez nada;;16 a 19 anos;Aumentou;Não denunciam;No;No;Yes;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;Yes;No;No;;Medo de vingança do agressor;;Terceira vez ou mais;Nordeste;Pernambuco;20 a 29;Ens. Médio;Até 2 S.M.;Desempregada;Católica;Branca;Pior;Sim;Yes;Yes;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
1134;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;;Nordeste;Bahia;50 a 59;Ens. Médio;NS/NR;Funcionária de empresa privada;Católica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1135;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Bahia;50 a 59;Ens. Médio;Sem renda;Do Lar;Católica;Parda;Pior;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
1136;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Bahia;50 a 59;Ens. Médio;Até 2 S.M.;Do Lar;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1137;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;Yes;Yes;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Nordeste;Bahia;50 a 59;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Preta;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1138;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;;;;;Nordeste;Bahia;30 a 39;Ens. Médio;Até 2 S.M.;Empregada doméstica;Evangélica;Preta;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1139;Não;Na família;Não;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;Não;;Denunciou em delegacia da Mulher;Ótimo;30 a 39 anos;Aumentou;Na minoria das vezes;No;Yes;No;No;No;Yes;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;Yes;Yes;No;No;No;No;;;;Terceira vez ou mais;Nordeste;Bahia;40 a 49;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Preta;Melhor;Sim;Yes;Yes;No;No;Sim;Marido/companheiro;Enfraquece a lei;Aumenta a proteção à mulher,
1140;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;NS/NR ;Não;;;;;;;;;;;;Nordeste;Bahia;16 a 19 anos;Até Ens. Fund.;Até 2 S.M.;Profissional Liberal;Outras religiões;Branca;Igual;Não;Yes;No;No;No;Sim;;Fortalece a lei;Diminui a proteção à mulher,
1141;Às vezes;No trabalho;Não;Não;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;No;No;No;Yes;No;No;No;Sim;Outras respostas ;Não;;;;;;;;;;;;Nordeste;Bahia;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Parda;;;No;No;Yes;No;Não;;Fortalece a lei;Diminui a proteção à mulher,
1142;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;Yes;Yes;No;Yes;No;No;;;;;Nordeste;Bahia;30 a 39;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Outras religiões;Branca;Melhor;Não;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
1143;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;No;No;No;No;No;No;No;Não;;Não;;;;;;;;;;;;Nordeste;Bahia;16 a 19 anos;Ens. Médio;Sem renda;Desempregada;Católica;Parda;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1144;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;Yes;No;No;No;No;;;;;Nordeste;Bahia;30 a 39;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;Parda;Melhor;Não;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1145;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Nordeste;Bahia;50 a 59;Ens. Médio;NS/NR;Aposentada;Católica;Preta;Melhor;Sim;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
1146;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;Yes;No;No;No;No;No;No;No;Sim;NS/NR ;Não;;;;;;;;;;;;Nordeste;Bahia;50 a 59;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Outras religiões;Preta;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1147;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;Yes;No;No;No;No;No;No;No;Não;;Não;;;;;;;;;;;;Nordeste;Bahia;40 a 49;Ens. Médio;Mais de 2 a 5;Servidora Pública;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1148;Às vezes;Na família;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;Não;;Não fez nada;;0 a 16 anos;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;7;;Não procurei ajuda ;Nordeste;Bahia;50 a 59;Até Ens. Fund.;Até 2 S.M.;Do Lar;Evangélica;Parda;Melhor;Sim;Yes;No;No;No;Não;Outro ;Enfraquece a lei;Diminui a proteção à mulher,
1149;Não;NS/NR ;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;No;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Nordeste;Bahia;40 a 49;Ens. Médio;Mais de 5 a 10;Profissional Liberal;Outras religiões;Branca;Melhor;Sim;No;No;Yes;No;Sim;;NS/NR;Aumenta a proteção à mulher,
1150;Às vezes;No trabalho;Sim;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Sim;NS/NR;Não fez nada;;30 a 39 anos;Continuou igual;Na maioria das vezes;No;No;No;No;No;Yes;No;Yes;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;Sim;7;;Não procurei ajuda ;Nordeste;Bahia;60 ou mais;Ens. Médio;Mais de 2 a 5;Aposentada;Outras religiões;Branca;Melhor;Sim;No;Yes;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
1151;Não;Na família;Sim;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Sim;;Procurou Igreja;;20 a 29 anos;Diminuiu;Não denunciam;No;Yes;No;No;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;Não;;;Terceira vez ou mais;Nordeste;Bahia;30 a 39;Ens. Médio;Até 2 S.M.;Do Lar;Evangélica;Parda;Melhor;Não;Yes;No;No;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Enfraquece a lei;Diminui a proteção à mulher
1152;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Não denunciam;No;No;No;No;No;Yes;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;Yes;No;No;No;No;;;;;Nordeste;Bahia;40 a 49;Ens. Superior;Mais de 10;Profissional Liberal;Católica;Indígena;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1153;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;No;Yes;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;São Paulo;50 a 59;Ens. Médio;NS/NR;Aposentada;Católica;Parda;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1154;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;São Paulo;60 ou mais;Ens. Superior;Mais de 2 a 5;Aposentada;Evangélica;Branca;Igual;Sim;Yes;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1155;Não;No trabalho;Não;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;No;Não;;Denunciou em delegacia comum;Ótimo;20 a 29 anos;Aumentou;Não denunciam;No;Yes;No;No;No;No;No;No;No;Sim;Outras respostas ;Sim;Yes;Yes;Yes;Yes;Yes;No;No;;;;Terceira vez ou mais;Sudeste;São Paulo;30 a 39;Ens. Superior;Mais de 5 a 10;Funcionária de empresa privada;Católica;Branca;Pior;Não;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
1156;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;Yes;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;30 a 39;Ens. Superior;Até 2 S.M.;Funcionária de empresa privada;Católica;NS/NR;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1157;Não;No trabalho;Em parte;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;No;Sim;;Outra opção;;16 a 19 anos;Aumentou;Não denunciam;Yes;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;Yes;No;No;No;No;Não;;;Não procurei ajuda ;Sudeste;São Paulo;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Evangélica;Parda;Melhor;Não;Yes;Yes;No;No;Sim;Marido/companheiro;Fortalece a lei;Aumenta a proteção à mulher,
1158;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;Yes;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Sem renda;Do Lar;Evangélica;Parda;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1159;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;40 a 49;Até Ens. Fund.;Até 2 S.M.;Do Lar;Evangélica;Branca;Pior;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1160;Não;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;Yes;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sudeste;São Paulo;60 ou mais;Até Ens. Fund.;Até 2 S.M.;Aposentada;Católica;Branca;NS/NR ;NS/NR ;No;Yes;No;No;Sim;;NS/NR;NS/NR,
1161;Às vezes;Na família;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;Yes;No;No;No;No;Yes;No;No;No;No;Não;;Procurou ajuda da família;;20 a 29 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Outras respostas ;Sim;No;No;Yes;No;No;No;No;;;;Segunda vez;Sudeste;São Paulo;20 a 29;Ens. Superior;NS/NR;Funcionária de empresa privada;Católica;Parda;Igual;Sim;No;Yes;No;No;Sim;Ex-namorado,ex-marido ou ex-companheiro;Fortalece a lei;Aumenta a proteção à mulher
1162;Às vezes;No trabalho;Em parte;Não;Sim;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;Não;;Não fez nada;;0 a 16 anos;Continuou igual;Na minoria das vezes;No;No;No;No;Yes;Yes;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;Dependência financeira;;Primeira vez;Sul;Paraná;40 a 49;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Preta;;;No;No;Yes;No;Sim;Pai;Fortalece a lei;Aumenta a proteção à mulher,
1163;Às vezes;Na família;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;No;No;No;No;No;Yes;No;;;;;Sudeste;São Paulo;30 a 39;Ens. Médio;NS/NR;Funcionária de empresa privada;Evangélica;Preta;Igual;Sim;No;Yes;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1164;Às vezes;Na sociedade;Em parte;Sim;Sim;Yes;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Sim;;Outra opção;;0 a 16 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Amigos;Sim;Yes;No;No;No;No;No;No;Não;;;Primeira vez;Sul;Paraná;16 a 19 anos;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Melhor;Não;No;No;Yes;No;Sim;Irmão/cunhado;Enfraquece a lei;Diminui a proteção à mulher,
1165;Às vezes;No trabalho;Não;Sim;Sim;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Yes;No;No;Não;;Outra opção;;16 a 19 anos;Continuou igual;Não denunciam;Yes;No;No;No;No;Yes;No;Yes;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;Terceira vez ou mais;Sul;Paraná;30 a 39;Até Ens. Fund.;Até 2 S.M.;Funcionária de empresa privada;Evangélica;Branca;Igual;Sim;Yes;No;No;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
1166;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;No;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sul;Paraná;40 a 49;Ens. Superior;NS/NR;Servidora Pública;Católica;Branca;Igual;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1167;Não;No trabalho;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Não;;Procurou associação ou entidade de proteção à Mulher (ONG);;0 a 16 anos;Aumentou;Na minoria das vezes;No;Yes;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;No;No;No;No;No;Yes;No;;;;NS/NR;Sul;Paraná;20 a 29;Ens. Médio;Até 2 S.M.;Empregada doméstica;Católica;NS/NR;Melhor;Sim;No;No;Yes;No;Não;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
1168;Às vezes;Na família;Não;Sim;Sim;No;No;No;No;Yes;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Não;;Não fez nada;;40 a 49 anos;Continuou igual;Não denunciam;No;No;No;No;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;Preocupação com a criação dos filhos;;Primeira vez;Sul;Paraná;50 a 59;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Parda;Melhor;Sim;No;No;Yes;No;Sim;Marido/companheiro;Enfraquece a lei;Diminui a proteção à mulher,
1169;Às vezes;Na sociedade;Em parte;Sim;Sim;No;No;No;Yes;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Sim;;Denunciou em delegacia comum;Ótimo;16 a 19 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;Não;;;Primeira vez;Sul;Paraná;20 a 29;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Outras religiões;Parda;Melhor;Sim;Yes;No;No;No;Sim;Irmão/cunhado;Enfraquece a lei;Diminui a proteção à mulher,
1170;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Paraná;40 a 49;Ens. Médio;Até 2 S.M.;Funcionária de empresa privada;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1171;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Paraná;40 a 49;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Católica;NS/NR;Igual;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1172;Às vezes;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;Yes;Yes;No;Yes;No;No;;;;;Sul;Paraná;50 a 59;Ens. Médio;Até 2 S.M.;Empregada doméstica;Católica;Branca;Melhor;Sim;Yes;Yes;No;No;Sim;;NS/NR;Diminui a proteção à mulher,
1173;Às vezes;Na sociedade;Não;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Não;;Não fez nada;;0 a 16 anos;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Sim;Yes;No;No;No;No;No;No;;Acreditar que seria a última vez;;Primeira vez;Sul;Rio Grande do Sul;16 a 19 anos;Até Ens. Fund.;Sem renda;Estudante;Evangélica;Branca;Melhor;Sim;Yes;No;No;No;Sim;Irmão/cunhado;Enfraquece a lei;Diminui a proteção à mulher,
1174;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na maioria das vezes;No;No;No;Yes;No;No;Yes;No;No;Sim;Polícia / Delegacia comum;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;20 a 29;Até Ens. Fund.;Até 2 S.M.;Empregada doméstica;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1175;Não;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Central de Atendimento à Mulher (número 180);Sim;Yes;No;Yes;No;No;No;No;;;;;Sul;Rio Grande do Sul;40 a 49;Ens. Médio;Mais de 5 a 10;Do Lar;Católica;Preta;Melhor;NS/NR ;Yes;No;No;No;Não;;Enfraquece a lei;Aumenta a proteção à mulher,
1176;Às vezes;NS/NR ;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;NS/NR ;;Sim;Yes;No;No;No;Yes;No;No;;;;;Sul;Rio Grande do Sul;16 a 19 anos;Ens. Médio;Sem renda;Estudante;Católica;Branca;Melhor;NS/NR ;No;No;Yes;No;Sim;;Enfraquece a lei;Aumenta a proteção à mulher,
1177;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;Yes;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sul;Rio Grande do Sul;40 a 49;Até Ens. Fund.;Sem renda;Desempregada;Católica;Branca;NS/NR ;Não;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1178;Às vezes;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;Yes;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;50 a 59;Ens. Médio;Mais de 2 a 5;Do Lar;Católica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Fortalece a lei;Aumenta a proteção à mulher,
1179;Sim;Na família;Em parte;Sim;Sim;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;Não;;Procurou ajuda dos amigos;;20 a 29 anos;Aumentou;Na minoria das vezes;No;No;No;No;No;Yes;Yes;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;Primeira vez;Sul;Rio Grande do Sul;20 a 29;Ens. Superior;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Não;No;Yes;No;No;Sim;Namorado;Enfraquece a lei;Diminui a proteção à mulher,
1180;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sul;Rio Grande do Sul;30 a 39;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Branca;Melhor;Sim;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1181;Às vezes;No trabalho;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Diminuiu;Na minoria das vezes;No;No;No;Yes;Yes;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;40 a 49;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1182;Sim;Na família;NS/NR ;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sul;Rio Grande do Sul;50 a 59;Ens. Médio;Mais de 2 a 5;Servidora Pública;Católica;Branca;Igual;Sim;No;No;No;Yes;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1183;Não;Na família;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Continuou igual;Não denunciam;No;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;Yes;No;No;;;;;Sul;Rio Grande do Sul;30 a 39;Ens. Superior;Sem renda;Desempregada;Católica;Branca;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1184;Às vezes;Na sociedade;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;Yes;No;No;Yes;No;No;No;No;No;Sim;Polícia / Delegacia comum;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Espírito Santo;20 a 29;Ens. Médio;Mais de 2 a 5;Funcionária de empresa privada;Evangélica;Branca;Melhor;Não;No;No;Yes;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1185;Às vezes;No trabalho;Não;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Não denunciam;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Espírito Santo;50 a 59;Ens. Médio;Mais de 2 a 5;Profissional Liberal;Outras religiões;Parda;Igual;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1186;Às vezes;Na sociedade;Em parte;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na maioria das vezes;No;No;Yes;No;No;No;No;No;No;Sim;Delegacia da Mulher;Não;;;;;;;;;;;;Sudeste;Espírito Santo;40 a 49;Até Ens. Fund.;Até 2 S.M.;Do Lar;Católica;Preta;Melhor;Sim;Yes;No;No;No;Sim;;Enfraquece a lei;Diminui a proteção à mulher,
1187;Não;Na sociedade;Sim;Sim;Não;;;;;;;;;;;;;;;;;;;;;;;;Aumentou;Na minoria das vezes;No;No;No;Yes;No;No;No;No;No;Não;;Sim;Yes;No;No;No;No;No;No;;;;;Sudeste;Espírito Santo;60 ou mais;Ens. Superior;Mais de 2 a 5;Servidora Pública;Católica;Branca;Melhor;Não;Yes;No;No;No;Sim;;NS/NR;NS/NR,
